name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Oslo, Norway",2023-03-22,41.1,33.2,36.7,38.4,27.6,32.7,36.2,98,0,0,0,,0,6.3,13,13.8,212.4,992.5,89.5,5.3,40.5,2.1,1,,2023-03-22T06:13:41,2023-03-22T18:35:39,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"01485099999,ENRY,01492099999,D9780,01494099999,01484399999,01493099999,01384099999,ENGM"
"Oslo, Norway",2023-03-23,41.2,35.7,38.5,41.2,30.1,34.7,37.6,96.5,0.271,100,4.17,rain,0,6.3,13.4,8.7,191.8,989,90,7.4,48.4,2.1,1,,2023-03-23T06:10:40,2023-03-23T18:38:05,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"01485099999,ENRY,01492099999,D9780,01494099999,01484399999,01384099999,ENGM"
"Oslo, Norway",2023-03-24,41.2,36.8,38.7,39.3,32.8,36.6,37.6,96,0.198,100,4.17,rain,0.8,6,13.4,8.8,6.5,987.2,92.6,7.9,55.4,2.3,1,,2023-03-24T06:07:38,2023-03-24T18:40:31,0.09,"Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,snow,"01492099999,D9780,01477099999,01384099999,E1039,ENGM,01485099999,ENRY,01460099999,01494099999,01484399999,01490099999,01489099999"
"Oslo, Norway",2023-03-25,37.6,31.1,35.6,37.4,23.8,30.4,31.9,86.5,0.282,100,4.17,"rain,snow",0,4.8,23.2,13.5,36.4,991.7,90,17.7,104.2,4.8,3,,2023-03-25T06:04:37,2023-03-25T18:42:57,0.12,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"01485099999,ENRY,01492099999,D9780,01494099999,01484399999,01384099999,ENGM"
"Oslo, Norway",2023-03-26,35.5,25.2,29.6,29.9,17.3,22.5,17.9,64,0.054,100,4.17,snow,0,5.1,16.1,11.8,34.5,1002.5,65.9,18.4,257.9,12.1,5,,2023-03-26T07:01:35,2023-03-26T19:45:23,0.15,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,rain,"01485099999,ENRY,01492099999,D9780,01494099999,01484399999,01477099999,01493099999,01384099999,ENGM"
"Oslo, Norway",2023-03-27,34.8,16.7,26.1,26.2,4.8,18.1,11.6,56.2,0,0,0,,0,6,26.8,13.3,20,1009.6,49.3,28.6,203.9,10.3,6,,2023-03-27T06:58:34,2023-03-27T19:47:49,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"01469099999,01492099999,D9780,E4699,01473099999,01477099999,01384099999,ENGM,01485099999,ENRY,01494099999,01484399999,01490099999"
"Oslo, Norway",2023-03-28,34.8,16.4,27.9,32.2,7.8,23.5,12.2,53.4,6.48,100,4.17,snow,0.2,5.1,14.5,10.4,182.8,1016.2,67.1,26.4,210.7,10.6,5,,2023-03-28T06:55:33,2023-03-28T19:50:15,0.22,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"01469099999,01492099999,D9780,01473099999,01477099999,01493099999,01384099999,ENGM,01485099999,ENRY,01494099999,01484399999,D1065,01490099999"
"Oslo, Norway",2023-03-29,34.9,25.6,29.4,31.1,14.6,22.2,24.1,81.5,0.142,100,4.17,snow,1.3,6.6,27.1,14.8,35.3,1011.6,60.5,19.1,80.3,3.9,2,,2023-03-29T06:52:31,2023-03-29T19:52:40,0.25,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"01469099999,01492099999,D9780,01477099999,01384099999,ENGM,01485099999,ENRY,01494099999,01484399999,D1065,01490099999,01480099999"
"Oslo, Norway",2023-03-30,33.6,21.3,27.5,27,13.6,20.8,21.4,78.2,9.305,100,4.17,snow,0,6.9,19.1,10.5,67,1007.4,91.9,27.9,113.4,5.6,2,,2023-03-30T06:49:30,2023-03-30T19:55:06,0.28,"Snow, Overcast",Cloudy skies throughout the day with morning snow.,rain,"01485099999,01469099999,ENRY,01492099999,D9780,01494099999,01484399999,01490099999,01477099999,01493099999,01384099999,ENGM"
"Oslo, Norway",2023-03-31,41.2,24.6,33.7,34.8,14.7,25.8,17.7,54.6,8.917,100,4.17,"rain,snow",0,6.6,24.8,13.7,40.6,1004.7,70.2,29.7,244.7,12.3,6,,2023-03-31T06:46:29,2023-03-31T19:57:32,0.31,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"01469099999,01492099999,D9780,01477099999,01384099999,ENGM,01485099999,ENRY,01494099999,01484399999,D1065,01490099999,01480099999"
"Oslo, Norway",2023-04-01,44.6,27.4,34.7,40.2,18.5,28.4,12.7,41,8.142,100,4.17,"rain,snow",0,6.8,17.9,11.4,25.9,1014.1,3,29.2,320.9,16.1,6,,2023-04-01T06:43:28,2023-04-01T19:59:58,0.35,"Snow, Rain",Clear conditions throughout the day with morning rain or snow.,rain,"01469099999,01492099999,D9780,01477099999,01493099999,01384099999,ENGM,01485099999,ENRY,01494099999,01484399999,01490099999,01480099999"
"Oslo, Norway",2023-04-02,47.5,24.9,35.5,47.5,18.8,32.7,16.6,47.9,7.754,100,4.17,"rain,snow",0,5.7,10.7,5.6,36.7,1028.1,6.5,30.8,320.2,16.1,6,,2023-04-02T06:40:27,2023-04-02T20:02:24,0.38,"Snow, Rain",Clear conditions throughout the day with morning rain or snow.,rain,"01469099999,01492099999,D9780,01477099999,01493099999,01384099999,ENGM,01485099999,ENRY,01494099999,01484399999,01490099999,01480099999"
"Oslo, Norway",2023-04-03,44.8,26.3,35,41.9,20,31,25.6,69.3,7.29,100,4.17,"rain,snow",0,5.1,10.3,7.7,159.6,1033.3,62.9,27.3,238.9,12,6,,2023-04-03T06:37:27,2023-04-03T20:04:50,0.41,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"01469099999,01492099999,D9780,01477099999,01384099999,ENGM,ENRY,01485099999,01460099999,01494099999,01484399999,01490099999,01480099999"
"Oslo, Norway",2023-04-04,50.1,27.3,38.6,50.1,22.5,35.1,22.9,56.3,0,0,0,,0,4.8,10.9,7.8,309.5,1028.1,41.7,24.6,316,15.9,6,,2023-04-04T06:34:26,2023-04-04T20:07:16,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"01469099999,01492099999,D9780,01477099999,01493099999,01384099999,ENGM,01485099999,ENRY,01494099999,01484399999,01490099999,01480099999"
"Oslo, Norway",2023-04-05,50.9,30.4,40.7,50.9,24.1,38.2,23.9,52.2,6.203,100,4.17,"rain,snow",0,3.5,14.1,10,39.4,1023.9,29,29.1,324.1,16.2,6,,2023-04-05T06:31:26,2023-04-05T20:09:42,0.47,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"01469099999,01492099999,D9780,01473099999,01477099999,01384099999,ENGM,01485099999,ENRY,01460099999,01494099999,01484399999,01490099999,01480099999"
"Oslo, Norway",2023-04-06,39.5,31.9,34.1,34.3,23.6,28.6,27.9,78.7,0.004,100,4.17,"rain,snow",0.1,3.7,17.9,10.6,75,1022.2,94,24.4,100.4,5,3,,2023-04-06T06:28:26,2023-04-06T20:12:08,0.5,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,snow,"01485099999,01469099999,ENRY,01492099999,D9780,01494099999,01484399999,01490099999,01477099999,01384099999,ENGM"
"Oslo, Norway",2023-04-07,46.5,32.9,38,46.5,29.1,36.1,32.5,81.7,0.054,100,4.17,"rain,snow",0,4,12.3,8.1,79.1,1027.2,75.3,24.4,275.5,13.9,6,,2023-04-07T06:25:27,2023-04-07T20:14:34,0.54,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"01485099999,01469099999,ENRY,01492099999,D9780,01494099999,01484399999,01490099999,01477099999,01493099999,01384099999,ENGM"
"Oslo, Norway",2023-04-08,54.4,29.3,41.5,54.4,25.4,40.4,27.9,62.7,3.489,100,4.17,"rain,snow",0,2.2,12.5,7.5,334.8,1031.5,46.4,27.4,325.9,16.4,6,,2023-04-08T06:22:28,2023-04-08T20:17:01,0.58,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"01485099999,ENRY,01492099999,D9780,01494099999,01473099999,01484399999,D1065,01384099999,ENGM"
"Oslo, Norway",2023-04-09,51.7,32.9,44.6,51.7,28.7,41.6,27.6,51.8,2.714,100,4.17,rain,0,1.8,13.4,8.8,46.1,1028.7,76.9,27.7,292.7,14.7,7,,2023-04-09T06:19:29,2023-04-09T20:19:27,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"01485099999,ENRY,01492099999,D9780,01494099999,01484399999,D1065,01477099999,01384099999,ENGM"
"Oslo, Norway",2023-04-10,46.6,38.5,42.6,45.1,33.3,39.5,33.8,72.3,0.079,100,4.17,rain,0,1.7,16.1,13.1,40.4,1019.9,88.8,26.7,118.5,6,4,,2023-04-10T06:16:30,2023-04-10T20:21:54,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"01485099999,ENRY,01492099999,D9780,01494099999,01484399999,D1065,01384099999,ENGM"
"Oslo, Norway",2023-04-11,45.6,37.7,41.5,43.2,31,36.9,35.9,81.5,0.004,100,4.17,rain,0,0.4,18.5,11.5,48.5,1004.2,90.2,14.9,61.9,3.1,2,,2023-04-11T06:13:32,2023-04-11T20:24:21,0.69,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"01492099999,D9780,01493099999,01477099999,01384099999,E1039,ENGM,01485099999,ENRY,01494099999,01484399999,D1065,01490099999"
"Oslo, Norway",2023-04-12,50.9,38.2,44.5,50.9,30,41.3,37.9,79.4,0.118,100,4.17,rain,0,0.3,17.4,13.7,104.7,1004.9,88.8,20.9,147.9,7.4,3,,2023-04-12T06:10:34,2023-04-12T20:26:48,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"01485099999,ENRY,01492099999,D9780,01494099999,01484399999,D1065,01490099999,01384099999,01480099999,ENGM"
"Oslo, Norway",2023-04-13,49,43.1,45.7,44.4,36.9,40.5,41,83.7,0.155,100,4.17,rain,0,0.2,26,13.6,65.7,1005.2,89.7,19.5,83.4,4.3,2,,2023-04-13T06:07:37,2023-04-13T20:29:15,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"01485099999,ENRY,01492099999,D9780,01494099999,01484399999,D1065,01490099999,01384099999,E1039,ENGM"
"Oslo, Norway",2023-04-14,46.5,35.6,41.7,43.9,27.2,36.1,38.2,87.6,0.155,100,4.17,rain,0,0.2,20.7,13,50.4,1014.6,94.1,18.9,52.9,2.7,2,,2023-04-14T06:04:40,2023-04-14T20:31:42,0.79,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"01485099999,ENRY,01492099999,D9780,01494099999,01484399999,01384099999,ENGM"
"Oslo, Norway",2023-04-15,42.9,34.6,38.7,39.9,27.2,32.3,35.5,88.3,0.853,100,4.17,rain,0,0,23.4,12.3,24.8,1021.7,96.3,17.7,69.9,3.7,2,,2023-04-15T06:01:44,2023-04-15T20:34:10,0.83,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"01469099999,01492099999,D9780,01473099999,01493099999,01477099999,01384099999,ENGM,01485099999,ENRY,01494099999,01484399999,D1065,01490099999"
"Oslo, Norway",2023-04-16,50.1,37.5,43.7,50.1,33.3,40.3,35.8,74,0.217,100,4.17,rain,0,0,14.1,8.7,29.1,1026.6,86.5,29.1,126.4,7.4,4,,2023-04-16T05:58:48,2023-04-16T20:36:37,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"01469099999,01492099999,D9780,E4699,01473099999,01477099999,01493099999,01384099999,ENGM,01485099999,ENRY,01494099999,01484399999,01490099999"
